El valor para la propiedad "n" es "100"
El valor para la propiedad "m" es "100"
El valor para la propiedad "delta_p" es "0.005"
El valor para la propiedad "cantidad_rocas" es "100"

p,Θ(p)
0.0,0.0
0.005,0.0
0.01,0.0
0.015,0.0
0.02,0.0
0.024999999,0.0
0.029999997,0.0
0.034999996,0.0
0.039999995,0.0
0.044999994,0.0
0.049999993,0.0
0.054999992,0.0
0.05999999,0.0
0.06499999,0.0
0.06999999,0.0
0.074999996,0.0
0.08,0.0
0.085,0.0
0.09,0.0
0.095000006,0.0
0.10000001,0.0
0.10500001,0.0
0.110000014,0.0
0.11500002,0.0
0.12000002,0.0
0.12500001,0.0
0.13000001,0.0
0.135,0.0
0.14,0.0
0.145,0.0
0.14999999,0.0
0.15499999,0.0
0.15999998,0.0
0.16499998,0.0
0.16999997,0.0
0.17499997,0.0
0.17999996,0.0
0.18499996,0.0
0.18999995,0.0
0.19499995,0.0
0.19999994,0.0
0.20499994,0.0
0.20999993,0.0
0.21499993,0.0
0.21999992,0.0
0.22499992,0.0
0.22999991,0.0
0.23499991,0.0
0.2399999,0.0
0.2449999,0.0
0.2499999,0.0
0.2549999,0.0
0.2599999,0.0
0.2649999,0.0
0.2699999,0.0
0.2749999,0.0
0.27999988,0.0
0.28499988,0.0
0.28999987,0.0
0.29499987,0.0
0.29999986,0.0
0.30499986,0.0
0.30999985,0.0
0.31499985,0.0
0.31999984,0.0
0.32499984,0.0
0.32999983,0.0
0.33499983,0.0
0.33999982,0.0
0.34499982,0.0
0.34999982,0.0
0.3549998,0.0
0.3599998,0.0
0.3649998,0.0
0.3699998,0.0
0.3749998,0.0
0.3799998,0.0
0.38499978,0.0
0.38999978,0.0
0.39499977,0.0
0.39999977,0.0
0.40499976,0.0
0.40999976,0.0
0.41499975,0.0
0.41999975,0.0
0.42499974,0.0
0.42999974,0.0
0.43499973,0.0
0.43999973,0.0
0.44499972,0.0
0.44999972,0.0
0.45499972,0.0
0.4599997,0.0
0.4649997,0.0
0.4699997,0.0
0.4749997,0.0
0.4799997,0.0
0.4849997,0.0
0.48999968,0.0
0.49499968,0.0
0.49999967,0.0
0.5049997,0.0
0.5099997,0.0
0.5149997,0.0
0.5199997,0.0
0.5249997,0.0
0.5299997,0.0
0.53499967,0.0
0.53999966,0.01
0.54499966,0.0
0.54999965,0.01
0.55499965,0.0
0.55999964,0.04
0.56499964,0.08
0.56999964,0.15
0.57499963,0.13
0.5799996,0.35
0.5849996,0.37
0.5899996,0.41
0.5949996,0.62
0.5999996,0.68
0.6049996,0.76
0.6099996,0.84
0.6149996,0.94
0.6199996,0.93
0.6249996,0.99
0.6299996,1.0
0.6349996,1.0
0.63999957,1.0
0.64499956,1.0
0.64999956,1.0
0.65499955,1.0
0.65999955,1.0
0.66499954,1.0
0.66999954,1.0
0.67499954,1.0
0.67999953,1.0
0.6849995,1.0
0.6899995,1.0
0.6949995,1.0
0.6999995,1.0
0.7049995,1.0
0.7099995,1.0
0.7149995,1.0
0.7199995,1.0
0.7249995,1.0
0.7299995,1.0
0.7349995,1.0
0.7399995,1.0
0.74499947,1.0
0.74999946,1.0
0.75499946,1.0
0.75999945,1.0
0.76499945,1.0
0.76999944,1.0
0.77499944,1.0
0.77999943,1.0
0.78499943,1.0
0.7899994,1.0
0.7949994,1.0
0.7999994,1.0
0.8049994,1.0
0.8099994,1.0
0.8149994,1.0
0.8199994,1.0
0.8249994,1.0
0.8299994,1.0
0.8349994,1.0
0.8399994,1.0
0.8449994,1.0
0.84999937,1.0
0.85499936,1.0
0.85999936,1.0
0.86499935,1.0
0.86999935,1.0
0.87499934,1.0
0.87999934,1.0
0.88499933,1.0
0.88999933,1.0
0.8949993,1.0
0.8999993,1.0
0.9049993,1.0
0.9099993,1.0
0.9149993,1.0
0.9199993,1.0
0.9249993,1.0
0.9299993,1.0
0.9349993,1.0
0.9399993,1.0
0.9449993,1.0
0.9499993,1.0
0.95499927,1.0
0.95999926,1.0
0.96499926,1.0
0.96999925,1.0
0.97499925,1.0
0.97999924,1.0
0.98499924,1.0
0.98999923,1.0
0.99499923,1.0
0.9999992,1.0
1.0,1.0
Tiempo simulacion: 2382.0 segundos
